iter	MultiClass
0	1.098389468
1	1.098112275
2	1.097856052
3	1.097651123
4	1.097390525
5	1.097202874
6	1.096962373
7	1.09673325
8	1.096463159
9	1.096198276
10	1.095909867
11	1.095635816
12	1.095501263
13	1.095313236
14	1.095086201
15	1.094881028
16	1.09462454
17	1.094451917
18	1.094305886
19	1.094047795
20	1.093884823
21	1.093700659
22	1.093385147
23	1.093177847
24	1.092976284
25	1.092829931
26	1.09275008
27	1.092560037
28	1.092466715
29	1.092254775
30	1.092074487
31	1.091945575
32	1.091659868
33	1.091410016
34	1.091140144
35	1.090883385
36	1.090790159
37	1.090511415
38	1.090368526
39	1.090106486
40	1.089985551
41	1.089784775
42	1.089573691
43	1.089435984
44	1.089171797
45	1.089032304
46	1.088883974
47	1.088714286
48	1.088514424
49	1.088363218
50	1.088150245
51	1.088097116
52	1.087879497
53	1.087681283
54	1.087527554
55	1.087392754
56	1.087195373
57	1.087009958
58	1.086754164
59	1.086615253
60	1.08637383
61	1.086258047
62	1.086090735
63	1.085898331
64	1.085721659
65	1.085507109
66	1.085330554
67	1.085221701
68	1.08508678
69	1.084926342
70	1.084785249
71	1.084590167
72	1.084388611
73	1.084174531
74	1.083978611
75	1.083741499
76	1.083451603
77	1.08338604
78	1.083197935
79	1.083042209
80	1.082825239
81	1.082599948
82	1.082439382
83	1.082372692
84	1.082151345
85	1.081980936
86	1.081865248
87	1.081780979
88	1.081525382
89	1.081299876
90	1.081169582
91	1.08091475
92	1.0807372
93	1.080653123
94	1.080504481
95	1.080334505
96	1.080150129
97	1.08004628
98	1.07993347
99	1.079764419
100	1.079669077
101	1.079404113
102	1.079260719
103	1.079129502
104	1.078938117
105	1.078775769
106	1.078616505
107	1.078405736
108	1.078234821
109	1.07796828
110	1.077770585
111	1.077575003
112	1.077337007
113	1.077137717
114	1.076944548
115	1.076815755
116	1.076605972
117	1.076483986
118	1.076335253
119	1.0762328
120	1.075942772
121	1.07575215
122	1.075529979
123	1.07534302
124	1.075263124
125	1.075090752
126	1.074903088
127	1.074722516
128	1.074574215
129	1.074405554
130	1.074208259
131	1.074138117
132	1.073978478
133	1.073828149
134	1.073624376
135	1.073465981
136	1.073242396
137	1.073025938
138	1.072898718
139	1.072726334
140	1.072631328
141	1.07243454
142	1.07233246
143	1.072196765
144	1.071978531
145	1.071847408
146	1.071642004
147	1.071499793
148	1.071359332
149	1.071191111
150	1.07101648
151	1.070812825
152	1.070654846
153	1.070401203
154	1.07032635
155	1.07014477
156	1.070039919
157	1.069821942
158	1.069639749
159	1.069510709
160	1.069353486
161	1.069244213
162	1.06906391
163	1.068937914
164	1.068770723
165	1.068644926
166	1.068500484
167	1.06834642
168	1.068171395
169	1.06809131
170	1.067901703
171	1.067701361
172	1.067577158
173	1.067425995
174	1.067298038
175	1.067174801
176	1.06696225
177	1.066812008
178	1.066611218
179	1.066418502
180	1.066353798
181	1.066206473
182	1.066002455
183	1.065833883
184	1.065677483
185	1.065564671
186	1.065403728
187	1.065183785
188	1.065008053
189	1.064886755
190	1.064728445
191	1.064478316
192	1.064284601
193	1.064061406
194	1.063937511
195	1.063754167
196	1.063574525
197	1.063358482
198	1.063174955
199	1.062984303
200	1.062840961
201	1.062702016
202	1.062599272
203	1.062454667
204	1.062334359
205	1.062111016
206	1.061974864
207	1.061800715
208	1.061649025
209	1.061491146
210	1.061309961
211	1.061157267
212	1.060997408
213	1.060900214
214	1.060789984
215	1.060688388
216	1.060497359
217	1.060370871
218	1.060175492
219	1.059975463
220	1.059783842
221	1.059623677
222	1.059408579
223	1.059250494
224	1.059090842
225	1.058913472
226	1.058782464
227	1.058616199
228	1.058561904
229	1.058387785
230	1.058223596
231	1.058046399
232	1.057892098
233	1.057739564
234	1.057618089
235	1.057487248
236	1.057349349
237	1.057186854
238	1.057059671
239	1.056885574
240	1.056802501
241	1.056582999
242	1.056469833
243	1.056328217
244	1.056196771
245	1.056080224
246	1.055913105
247	1.055827991
248	1.055676736
249	1.055453849
250	1.055374592
251	1.055238844
252	1.055082199
253	1.054989189
254	1.054882623
255	1.054741098
256	1.054603852
257	1.054484753
258	1.054393481
259	1.054214377
260	1.054074092
261	1.053908136
262	1.053761536
263	1.053665785
264	1.053515684
265	1.053305983
266	1.05316099
267	1.053005911
268	1.05292168
269	1.052810011
270	1.052633016
271	1.052488984
272	1.052292001
273	1.052186985
274	1.052138091
275	1.051996657
276	1.051761168
277	1.051720671
278	1.051619355
279	1.051526507
280	1.051403621
281	1.051306733
282	1.051187085
283	1.051067665
284	1.050910223
285	1.050754046
286	1.05063295
287	1.050433651
288	1.05033744
289	1.050211171
290	1.050031041
291	1.04990477
292	1.049778907
293	1.04962806
294	1.049447908
295	1.049296885
296	1.049118778
297	1.049018325
298	1.048865809
299	1.048654973
300	1.048588019
301	1.048464168
