iter	Passed	Remaining
0	196	196354
1	216	107874
2	235	78255
3	258	64250
4	276	55105
5	297	49229
6	316	44944
7	337	41806
8	360	39718
9	380	37628
10	401	36117
11	421	34743
12	442	33607
13	463	32671
14	483	31733
15	504	30997
16	524	30318
17	543	29677
18	562	29041
19	582	28562
20	603	28113
21	624	27782
22	644	27357
23	664	27006
24	685	26724
25	706	26453
26	726	26186
27	745	25888
28	764	25601
29	786	25415
30	806	25214
31	825	24978
32	844	24760
33	865	24596
34	884	24398
35	904	24214
36	922	24008
37	941	23838
38	960	23678
39	983	23613
40	1005	23510
41	1033	23567
42	1062	23651
43	1094	23770
44	1119	23755
45	1145	23767
46	1169	23720
47	1192	23650
48	1214	23580
49	1235	23478
50	1257	23403
51	1279	23325
52	1306	23353
53	1334	23373
54	1360	23383
55	1386	23371
56	1411	23348
57	1434	23301
58	1457	23246
59	1480	23200
60	1502	23123
61	1522	23034
62	1545	22990
63	1567	22929
64	1593	22919
65	1615	22868
66	1640	22842
67	1663	22794
68	1684	22731
69	1708	22700
70	1727	22608
71	1746	22509
72	1766	22427
73	1785	22347
74	1804	22256
75	1823	22170
76	1842	22086
77	1862	22019
78	1882	21947
79	1903	21884
80	1923	21819
81	1943	21755
82	1964	21702
83	1983	21629
84	2003	21563
85	2036	21641
86	2063	21654
87	2084	21606
88	2105	21551
89	2129	21532
90	2152	21499
91	2174	21460
92	2197	21427
93	2217	21375
94	2239	21337
95	2261	21297
96	2283	21261
97	2303	21204
98	2324	21155
99	2346	21118
100	2371	21106
101	2391	21056
102	2412	21009
103	2432	20960
104	2451	20899
105	2470	20833
106	2489	20775
107	2509	20722
108	2528	20669
109	2547	20609
110	2567	20562
111	2587	20513
112	2607	20467
113	2627	20424
114	2648	20381
115	2666	20318
116	2685	20269
117	2706	20228
118	2727	20191
119	2745	20132
120	2764	20083
121	2784	20037
122	2804	19993
123	2825	19959
124	2843	19907
125	2862	19853
126	2882	19815
127	2903	19782
128	2928	19772
129	2955	19780
130	2978	19755
131	2999	19722
132	3020	19693
133	3043	19669
134	3063	19630
135	3082	19581
136	3101	19539
137	3122	19507
138	3141	19459
139	3160	19413
140	3179	19369
141	3198	19328
142	3220	19301
143	3239	19257
144	3258	19213
145	3277	19170
146	3297	19133
147	3317	19095
148	3335	19051
149	3355	19016
150	3376	18983
151	3395	18945
152	3415	18907
153	3436	18877
154	3453	18829
155	3473	18789
156	3491	18747
157	3511	18710
158	3530	18672
159	3548	18629
160	3569	18600
161	3594	18593
162	3621	18594
163	3643	18570
164	3667	18558
165	3690	18540
166	3713	18524
167	3736	18503
168	3759	18486
169	3780	18459
170	3801	18428
